,user_id,position,career,updated_at,want_to_be,desired_role,benefits_in_companies,name,type,my_languages_,level_languages_,my_languages_1,level_languages_1,my_languages_2,level_languages_2,benefits_in_companies_1,benefits_in_companies_2,benefits_in_companies_3
142,52307,none,maestria en evaluacion y aseguramiento de la calidad de la educacion,2023-09-01 12:36:45,employment,"soporte y asesor informatico, diseñador web.",study_opportunities,experiencia,my_knowledge,not,basic,not,basic,not,basic,prepaid_medicine,child_care,flexible_schedules
143,99627,none,bachiller,2023-09-01 13:06:50,first_job,analista backoffice,study_opportunities,tecnología,my_knowledge,EN,basic,not,basic,not,basic,distraction_spaces,distraction_spaces,flexible_schedules
144,1952089,diseñador grafico,diseño grafico,2023-08-30 15:04:23,freelancer,diseñador gráfico,bonuses,gestión de la innovación,my_knowledge,ES,advanced,EN,basic,not,basic,study_opportunities,flexible_schedules,home_office
145,62319,none,tecnólogo en desarrollo de software,2023-09-01 12:42:54,employment,data scientist,flexible_schedules,adobe,digital_tools,EN,intermediate,not,basic,not,basic,scholarships,laboral_training,study_opportunities
146,168509,empleado,psicología,2023-09-01 13:21:15,employment,data engineer / data scientist,flexible_schedule,administración,my_knowledge,EN,intermediate,not,basic,not,basic,child_care,child_care,personal_recognition
147,1964779,empleado,ingeniería en sistemas y master en ciberseguridad,2023-09-01 13:37:16,employment,auditor,study_opportunities,computadores,my_knowledge,EN,intermediate,not,basic,not,basic,pet_care,free_time,travels
148,1958173,empleado,ingeniería de sistemas,2023-09-01 13:24:44,employment,"frontend, backend, bases de datos",flexible_schedule,software,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
149,1963187,empleado,ingeniería de sistemas,2023-05-06 13:08:06,employment,"desarrollador backend, fullstack, lider tecnico",flexible_schedule,tecnología,my_knowledge,ES,advanced,not,basic,not,basic,pet_care,free_time,travels
150,111337,desempleado,ing industrial especializado en gerencia de mercadeo estratégico y máster en marketing digital con conocimientos en desarrollo web lapps,2023-09-01 13:10:05,freelancer,marketing manager con conocimientos en desarrollo web e implementación de funnels,study_opportunities,mercado,my_knowledge,"[['not', 'basic']]","[['not', 'basic']]",not,basic,not,basic,prepaid_medicine,distraction_spaces,scholarships
151,1959909,desempleado,maestría ingeniería sistemas,2023-09-01 13:29:45,employment,"líder de proyectos, coordinador, pmo.",flexible_schedule,proyectos,my_knowledge,EN,intermediate,not,basic,not,basic,distraction_spaces,salary_increase,distraction_spaces
152,133119,abogado litigante,derecho,2023-09-01 13:15:17,entrepreneur,analista backoffice,flexible_schedule,inteligencia artificial,my_knowledge,PT,advanced,not,basic,not,basic,"[""a""]",personal_recognition,flexible_schedules
153,155575,auxiliar administrativo en talento humano,talento humano por competencia,2023-09-01 13:19:35,employment,data engineer / data scientist,flexible_schedule,auxiliar administrativo,my_knowledge,ES,advanced,not,basic,not,basic,child_care,child_care,personal_recognition
154,123483,none,ing sistemas,2023-09-01 13:11:39,employment,"desarrollador backend, fullstack, lider tecnico",study_opportunities,desarrollo de software,my_knowledge,not,basic,not,basic,not,basic,"[""a""]","[""a""]",personal_recognition
155,81371,backofice movistar,técnico laboral en sistematización de datos,2023-09-01 13:00:42,first_job,desarrollador de software remoto,formation,desarrollo de software,my_knowledge,EN,intermediate,not,basic,not,basic,travels,salary_increase,study_opportunities
156,1962767,desempleado,técnico en contabilidad,2023-05-06 10:14:29,employment,"desarrollador backend, fullstack, lider tecnico",flexible_schedule,asesoría,my_knowledge,EN,intermediate,not,basic,not,basic,pet_care,free_time,travels
157,27846,none,comunicación social y periodismo,2023-09-01 12:07:02,entrepreneur,"soporte y asesor informatico, diseñador web.",study_opportunities,musica,my_knowledge,not,basic,not,basic,not,basic,prepaid_medicine,child_care,flexible_schedules
158,1959539,empleado,tecnico en sistemas,2023-09-01 13:29:41,employment,diseño de experiencias o servicios,flexible_schedule,matemáticas,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
159,76268,none,ingenieria mecatronica,2023-09-01 12:58:52,employment,data scientist,study_opportunities,desarrollo de software,my_knowledge,ES,advanced,EN,basic,not,basic,flexible_schedules,scholarships,salary_increase
160,1965851,empleado,analisis y desarrollo de sistemas de información,2023-09-01 14:01:13,employment,ingeniero de datos,study_opportunities,microsoft,my_knowledge,EN,intermediate,not,basic,not,basic,pet_care,free_time,travels
161,1964821,desempleado,economia y negocios internacionales,2023-09-01 13:37:16,employment,analista de datos junior,study_opportunities,negociación,my_knowledge,EN,advanced,not,basic,not,basic,pet_care,free_time,travels
162,1960719,none,ingeniería industrial,2023-09-01 13:36:18,employment,cientifico de datos,study_opportunities,excel,my_knowledge,EN,intermediate,not,basic,not,basic,prepaid_medicine,salary_increase,distraction_spaces
163,1959925,desempleado,ingeniería industrial,2023-09-01 13:29:45,employment,product owner,flexible_schedule,creatividad,my_knowledge,ES,advanced,not,basic,not,basic,distraction_spaces,salary_increase,distraction_spaces
164,79866,gestion de proveedores,administracion de sistemas informaticos,2023-09-01 13:00:18,employment,"analista qa junior , analista de pruebas",bonuses,auditoria,my_knowledge,SIMPLE,basic,not,basic,not,basic,study_opportunities,flexible_schedules,parties_for_employees
165,100511,trabajo independiente como ingeniero electrónico,ingeniería electrónica,2023-09-01 13:07:10,freelancer,analista backoffice,flexible_schedules,diseño web,my_knowledge,ES,advanced,EN,intermediate,not,basic,prepaid_medicine,laboral_training,personal_recognition
166,54647,none,maestria en evaluacion y aseguramiento de la calidad de la educacion,2021-02-24 17:24:18,employment,"soporte y asesor informatico, diseñador web.",study_opportunities,gestion,my_knowledge,not,basic,not,basic,not,basic,prepaid_medicine,child_care,flexible_schedules
167,1884407,estudiante,programación de software,2023-09-01 13:23:44,freelancer,desarrollador junior,bonuses,android studio xml firebase json,my_knowledge,ES,advanced,EN,basic,not,basic,laboral_training,personal_recognition,study_opportunities
168,1964381,empleado,bioingeniería,2023-09-01 13:37:13,employment,"ingeniero de datos, ciencia de datos",study_opportunities,experiencia,my_knowledge,EN,intermediate,not,basic,not,basic,child_care,free_time,travels
169,1959415,empleado,ingeniería industrial,2023-09-01 13:28:45,employment,diseño de experiencias o servicios,flexible_schedule,branding,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
170,1958767,desempleado,"producción de multimedia , programación python,java html5",2023-09-01 13:26:43,employment,desarrollador,flexible_schedule,aprendizaje,my_knowledge,ES,advanced,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
171,67134,docente investigador,maestría en automatización y control industrial,2023-09-01 12:49:47,first_job,data scientist,events,electrónica,my_knowledge,EN,advanced,not,basic,not,basic,distraction_spaces,child_care,flexible_schedules
172,55389,técnico en sistemas,analisis y desarrollo de sistemas de información,2023-09-01 12:39:13,first_job,"soporte y asesor informatico, diseñador web.",study_opportunities,atención al cliente,my_knowledge,EN,basic,not,basic,not,basic,scholarships,laboral_training,flexible_schedules
173,82819,gerente,ingenieria de sistemas,2023-09-01 13:01:13,employment,desarrollador de software remoto,flexible_schedules,microsoft office,my_knowledge,not,basic,not,basic,not,basic,study_opportunities,scholarships,prepaid_medicine
174,1961729,empleado,doctorado en ingeniería - sistemas y computación,2023-09-01 13:36:39,employment,científico de datos / líder de investigación y desarrollo / líder de analítica,study_opportunities,asesoría,my_knowledge,EN,advanced,not,basic,not,basic,personal_recognition,salary_increase,distraction_spaces
175,38395,none,ing. financiera,2023-09-01 12:24:15,employment,"soporte y asesor informatico, diseñador web.",study_opportunities,word,digital_tools,EN,intermediate,not,basic,not,basic,home_office,scholarships,flexible_schedules
176,1981051,desarrollador flutter,ingenieria y desarrollo de sofware,2023-10-27 23:30:45,employment,desarrollador flutter,study_opportunities,aplicación de pruebas,my_knowledge,ES,advanced,EN,intermediate,not,basic,laboral_training,prepaid_medicine,formation
177,1959245,empleado,producción multimedial,2023-09-01 13:28:44,employment,desarrollador junior,flexible_schedule,desarrollo,my_knowledge,ES,advanced,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
178,101231,trabaje como administrador web,tecnologia en electronica,2023-09-01 13:07:24,employment,analista backoffice,study_opportunities,mantenimiento de computadores,my_knowledge,EN,intermediate,not,basic,not,basic,formation,travels,free_time
179,1958733,desempleado,ingenieria de sistemas,2023-09-01 13:26:42,first_job,desarrollador fronted,flexible_schedules,análisis,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
180,97461,ninguno,técnico laboral por competencias en gestión ambiental y recursos naturales,2023-09-01 13:06:11,first_job,analista de datos / gobierno y gestión ti,study_opportunities,diseño web,my_knowledge,not,basic,not,basic,not,basic,flexible_schedules,home_office,distraction_spaces
181,41686,none,especialización en gerencia de proyectos,2023-09-01 12:26:12,employment,"soporte y asesor informatico, diseñador web.",study_opportunities,dirección de proyectos,my_knowledge,EN,basic,not,basic,not,basic,prepaid_medicine,child_care,flexible_schedules
182,1964847,desempleado,actualmente estudio ingeniería en sistemas y computación,2023-09-01 14:00:57,employment,desarrollador frontend,study_opportunities,marketing,my_knowledge,ES,intermediate,not,basic,not,basic,pet_care,free_time,travels
183,129443,revisor fiscal,maestria en finanzas,2023-09-01 13:13:59,employment,desarrollador de software,scholarships,docencia,my_knowledge,ES,advanced,not,basic,not,basic,salary_increase,travels,formation
184,1962035,empleado,especializacion en administracion y gerencia de sistemas de la calidad,2023-09-01 13:36:49,employment,"desarrollador backend, full stack",study_opportunities,indicadores,my_knowledge,EN,advanced,not,basic,not,basic,personal_recognition,salary_increase,distraction_spaces
185,74140,gerente de proyectos,gerencia de proyectos,2023-09-01 12:54:10,employment,gerente de proyectos,bonuses,proyectos,my_knowledge,ES,advanced,EN,intermediate,not,basic,study_opportunities,scholarships,prepaid_medicine
186,98145,desempleado,desarrollo de software,2023-09-01 13:06:25,employment,desarrollador,study_opportunities,inventarios,my_knowledge,EN,intermediate,not,basic,not,basic,study_opportunities,"[""a""]",scholarships
187,68611,none,sistemas,2023-09-01 12:50:09,first_job,data scientist,flexible_schedules,bases de datos,my_knowledge,ES,advanced,EN,intermediate,not,basic,agreements,child_care,flexible_schedules
